FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS,TARGET
6.9,0.34,0.3,4.7,0.374,34,148,0.99165,3.36,0.56,7.3,-1,8,1,0
6.4,0.38,0.68,125.5,-0.527,41,-54,0.99596,3.11,0.6,9.2,-1,7,Unrated,2
6.7,0.39,0.34,9.9,0.588,159,-672,0.99794,3.46,0.55,4.6,-1,7,1,1
7.1,0.15,-0.22,-104.3,0.033,20,73,1.02541,2.02,0.52,7,1,8,2,5
6.6,-0.45,0.27,5.6,0.043,-198,-253,0.9953,2.67,0.52,13,-2,7,1,1
-0.3,0.8,-0.23,13.7,0.046,6,234,0.99458,2.61,1.73,10.6,0,7,2,2
7.4,0.24,-1.19,53.1,0.272,48,-144,1.00697,2.89,0.42,5.6,1,8,3,5
-1.6,0.22,2.97,-51.9,0.033,211,-41,1.0286,3.1,0.47,6.4,-1,7,1,0
7.8,0.58,-0.37,1.3,0.338,16,96,0.9941,5.19,-1.05,20.6,-1,8,1,2
9.8,0.21,-1.76,13.1,0.039,-247,-498,1.06341,2.51,0.42,11.2,0,8,Unrated,4
7.3,0.28,0.35,1.6,0.634,-242,148,0.99178,2.52,-1.19,9,0,8,2,3
9.3,1.33,0.49,2.5,-0.51,38,3,0.96267,1.93,-0.48,15.4,-2,10,Unrated,0
1,0.22,0.28,-11.5,0.028,55,347,0.9982,2.96,-0.42,11.6,0,9,1,3
-1.8,-0.54,-1.61,45,0.19,34,395,0.99746,2.24,2.08,10.6,-1,7,Unrated,0
6.2,0.58,0,-53.6,0.065,207,-41,1.08045,4.1,0.84,4.9,1,7,1,4
9.2,0.31,1.58,2.2,0.028,11,-12,0.99615,3.33,0.58,15.8,1,10,Unrated,0
14.2,0.41,0.34,70.3,0.049,29,-118,1.03272,3.02,0.5,9.1,1,7,2,4
19,0.25,-1.08,68.8,0.325,51,38,0.9964,2.06,0.62,9.2,1,8,3,4
4.6,-0.375,0,1.4,0.053,11,162,0.99426,4.44,0.66,7.4,-1,5,1,2
8.7,0.52,-1.41,98.7,-0.671,-92,39,1.03255,3.42,2.31,6.7,-1,8,Unrated,0
7.4,0.32,0.22,11.7,0.513,-228,150,1.03314,4.22,0.45,10.4,0,8,Unrated,3
6.6,0.16,0.21,6.7,0.055,426,157,0.99384,3.15,2.05,10.8,-1,7,1,3
6.3,-0.27,-1.57,49.6,0.396,-218,110,0.991,3.3,0.57,12.5,0,7,2,5
9.7,1.49,0.43,9.2,0.046,137,126,0.9982,4.42,1.49,13.5,1,9,1,4
25.6,-1.08,0.63,-60.6,0.073,-59,420,1.04957,3.66,0.16,10.1,0,13,3,4
-2.8,0.24,0.41,-28.5,-0.49,196,118,0.99018,2.25,0.64,11.733333333,-1,7,2,3
5.7,0.21,-1.05,1.1,0.34,26,-231,0.98734,3.34,0.52,11.4,-1,6,Unrated,0
6.7,-0.07,0.28,51,0.039,507,115,0.99469,2.77,0.45,16.6,0,7,4,5
13.8,0.27,-0.37,-54.8,-0.056,6,-19,0.99582,3.39,-0.63,9.4,0,7,Unrated,3
7.5,-1.04,-0.45,-35.7,0.036,43,161,0.9938,3.04,0.36,11,0,8,Unrated,3
15.3,0.19,0.36,36.4,0.244,424,158,0.9917,2.24,1.24,12.4,1,7,1,0
7.2,-0.99,0.84,-43.6,-0.521,-214,-36,0.98244,3.09,1.15,9.8,-1,8,1,2
3.5,0.29,0.05,0.8,0.038,11,65,1.02499,4.2,0.35,7.8,0,6,2,3
7.2,1.07,0.39,-60.7,0.053,91,106,0.98636,3.02,1.08,11.1,1,8,1,5
2.3,0.35,1.08,-16.1,0.536,-123,148,0.99441,3.98,2.71,13.9,0,7,Unrated,2
-0.8,-0.435,0.63,2.8,-0.173,-143,-3,1.0267,3.36,-0.64,9.3,-1,6,3,2
9.5,0.32,0.37,13.2,0.046,31,55,0.9957,3.23,0.62,9.4,1,8,3,5
-12.5,0.38,-0.35,77.5,0.038,-25,482,1.01111,3.81,0.41,12,0,7,Unrated,0
5.4,1.07,1.28,11.3,0.035,-249,111,0.97106,3.53,0.21,8.4,-1,7,3,4
16.1,0.22,0.49,1.5,-0.073,-153,-162,0.99919,4.46,0.46,9.6,1,7,2,4
10.5,0.22,0.74,5.5,0.261,-102,183,1.01675,3.19,-0.24,10.3,0,8,Unrated,0
6.6,-0.25,-0.59,-45.4,0.803,-241,93,1.02943,3.11,0.56,12.25,0,7,1,3
12,-0.85,0.72,16.9,-0.045,7,-349,0.9942,4.02,0.4,13,-1,8,2,2
7.6,0.23,2.58,10,0.036,-242,170,0.9967,3.69,0.58,9.6,2,8,3,6
11.2,0.12,0.35,65.8,0.034,36,-202,0.96886,2.46,1.62,12,-1,9,Unrated,3
-1.4,-0.57,0.72,17.3,-0.783,150,235,1.03966,2.32,0.3,8.8,1,10,3,5
-1.7,3.5,-0.59,2.2,0.096,48,35,1.02549,4.19,0.62,12.7,1,7,2,3
19.2,-0.43,0.33,65.7,0.014,-247,17,0.99732,4.35,-0.16,5.4,0,9,2,0
11.7,1.2,1.58,-57.8,-0.435,-81,61,0.95327,3.54,1.15,13.5,0,6,2,5
6.8,1.66,3.19,21.15,0.042,41,280,1.07677,2.64,-0.48,4.8,-2,7,Unrated,0
6,-0.87,0.26,-40.6,-0.441,32,387,0.99125,2.43,0.43,8.8,-1,7,1,0
20,-1.81,0.29,2.2,0.131,-56,530,0.99532,2.75,-0.83,11.8,-1,7,Unrated,0
7.7,-0.13,0.93,11.8,0.088,18,-118,1.00307,2.86,0.32,10.8,0,9,1,3
14.8,0.41,-0.41,7.3,-0.468,236,117,0.99172,2.19,0.57,20.64,0,7,Unrated,5
6.8,-1.03,0.62,1.5,0.044,19,156,0.9921,1.6,1.28,9.9,1,7,Unrated,0
6.8,1.06,0.28,-23.55,0.031,27,376,1.01001,3.06,0.42,12.1,1,8,4,5
17.6,0.39,0.69,2.8,0.095,84,-178,0.9994,2.86,0.09,16.3,1,13,Unrated,0
6.4,-1.12,0.17,1.4,0.023,-152,115,0.98958,3.18,2.09,11.7,0,7,2,4
1.1,0.53,0.14,2.1,0.573,-123,-325,0.99323,3.35,0.99,12.1,1,8,2,5
-13.8,0.46,1.12,36.5,-0.357,178,130,0.96727,3.23,-0.42,8.2,-1,6,3,5
7.4,-0.64,0.49,-58,0.265,-178,551,0.99754,2.46,-1.18,10.6,0,8,2,4
5,0.21,-1.17,2.7,0.419,-99,194,1.00973,2.87,-1.02,4.9,-1,8,Unrated,1
6.7,0.16,-0.88,124.3,-0.219,288,435,0.9952,4.55,0.81,2.3,0,7,2,4
4.7,0.57,0.02,5.7,0.077,-37,-77,0.90436,4.12,0.6,13.6,0,8,1,0
2.3,0.38,-0.3,13,1.057,-47,-23,0.9934,3.34,-0.01,5.7,0,7,2,4
0.7,1.46,0.16,7.9,0.044,42,259,0.94767,2.74,-0.2,9.4,-1,6,1,2
10.3,1.67,1.18,67.2,0.156,5,13,1.00582,1.94,-0.24,11.5,-1,11,Unrated,0
7.9,0.65,0.01,2.5,0.078,17,210,1.01613,3.34,0.74,11.7,-2,9,2,3
9.7,1.68,3.46,2.6,0.162,-202,513,0.98426,4,0.66,15.4,0,11,1,0
6.1,-0.79,0.27,2.1,0.035,218,118,1.02449,3.98,0.71,17.1,1,7,3,6
17.2,0.39,0.28,60.2,0.027,215,718,0.99556,3.19,1.91,10.7,0,7,3,4
10.6,1.05,-0.44,-26.3,0.043,21,159,1.04067,3.28,0.47,3.7,1,8,2,4
7.6,0.345,-0.1,119.4,0.318,15,746,1.00319,3.73,0.42,9.5,0,8,3,3
4.2,0.33,-0.56,49.1,0.016,-89,150,0.98713,4.58,1.64,4.3,0,6,3,6
1.8,0.27,-0.33,1.2,0.076,42,-264,0.99204,3.86,0.47,10.1,0,6,1,4
12.9,-0.35,2.99,7,0.058,9,18,0.99278,2.6,2.02,13.3,1,10,Unrated,0
-3,0.32,0.49,-30.2,-0.448,182,369,0.9956,3.67,0.34,8.3,1,10,Unrated,4
19.7,0.105,-1.93,67.5,0.071,-130,-352,0.98962,4,-1.97,9.1,1,9,1,4
8.4,-0.87,0.42,83.1,0.047,9,101,0.994,3.06,0.65,16.6,0,9,Unrated,0
-4.7,-0.99,0.32,66.9,0.041,66,266,1.01781,3.64,1.18,7.7,-1,8,2,3
6.4,-0.37,0.23,41.8,0.697,50,-238,0.994,4.22,0.52,13.6,0,7,1,3
12.5,0.97,0.61,13.5,0.369,52,472,0.9975,3,0.44,9.1,0,8,2,3
2.9,1.27,-1.27,29.4,0.04,24,230,0.9903,2.54,-0.58,12.6,0,7,Unrated,5
8.8,-0.93,0.84,3.9,1.145,-162,164,0.99784,3.76,-0.91,4.4,1,8,1,0
7.1,1.19,0.3,3.1,0.503,16,37,0.95875,3.02,0.52,7.6,0,8,2,5
6.8,0.25,0.31,13.3,-0.106,14,373,0.9705,2.91,0.48,11.8,1,7,3,5
8.9,0.21,-0.39,34.2,0.564,-243,233,0.9914,3.09,0.58,10,0,7,Unrated,5
6.4,0.33,0.08,2.1,-0.484,-156,48,0.9949,3.49,0.49,16.8,-1,7,Unrated,0
6.7,1.3,0.23,16,0.038,299,382,0.94558,3.38,2.01,9.5,0,7,3,3
7.2,1.655,0.32,-33.5,-0.05,-15,20,0.98222,2.89,0.54,7.4,0,8,Unrated,0
11.8,0.57,0.21,-50.8,0.08,113,35,0.96553,4.11,1.14,16,0,8,2,3
8.5,-1.03,0.33,1,0.076,17,57,1.00438,3.95,-0.17,10.6,1,9,3,5
6.9,-0.27,0.56,22.5,-0.461,-151,328,0.9975,3.14,-0.54,9.4,1,8,3,4
8.5,0.23,1,1.3,-0.343,68,391,0.99176,3.07,0.55,15,0,9,1,5
16.4,-0.59,0.21,-59.2,1.012,29,-295,0.9988,3.28,1.69,10.4,1,10,3,4
6.2,0.02,0.25,12.1,0.059,-210,171,0.99769,4.36,1.81,13.4,0,7,3,4
-2.1,0.82,0.49,11.2,-0.282,295,-33,0.92655,3.99,2.72,14.2,-2,7,2,2
6,0.14,0.88,1.2,0.255,-52,76,0.99185,2.44,0.44,11.2,-1,7,1,2
6.7,0.26,0.29,60.4,0.036,28,381,0.99534,3.08,0.36,12.6,-2,7,2,2
3.6,0.305,0.7,1.4,-0.147,-209,400,0.99158,3.93,-1.03,11.5,1,8,3,6
-4.2,-0.06,0.32,1.9,-0.311,27,253,1.00527,1.91,0.49,-1.8,0,8,1,4
6.8,0.24,1.77,-22.3,0.045,73,11,0.99578,3.45,-1.44,9.5,-1,7,1,3
12.8,1.32,-0.02,-16.3,0.05,32,196,1.02833,3.18,0.48,9.5,0,7,1,3
-1.2,0.25,0.22,71.6,0.067,271,110,0.9976,3.01,0.48,15.2,1,8,2,5
6.8,0.52,0.49,14,-0.073,93,156,0.9958,3.14,0.84,11.8,1,9,2,6
10.3,0.33,-0.93,130.1,0.037,10,690,0.94963,3.26,-0.85,13.2,0,7,2,4
4,0.32,-1.08,11.5,0.609,-292,111,0.9974,3.22,1.09,3.8,1,7,1,4
-2,0.4,-2.81,2.2,0.643,150,166,0.98678,3.36,2.07,12.6,1,8,3,5
10.7,0.53,0,35.4,0.343,6,14,0.96784,3.24,0.64,4.9,0,9,Unrated,0
14.6,0.26,0.34,-47.3,0.168,329,-118,0.99497,3.91,0.5,10.6,-1,10,2,3
6.5,0.315,0.2,64.2,0.041,233,-211,1.05059,3.7,1.21,8.8,-1,7,2,2
6.6,0.45,-0.36,-39.1,0.179,-111,557,0.99494,3.21,-0.6,12.55,0,7,3,4
13,2.52,0.21,1.1,1.103,71,111,1.0364,2.97,2.19,4.2,0,7,3,4
9.1,0.29,0.33,8.9,0.12,66,-249,0.98251,3.26,0.84,4.4,2,10,3,7
-0.8,3.07,0.29,7.7,-0.035,-141,318,0.99479,4.06,0.56,15.5,0,7,2,4
6.9,0.68,0.25,2.4,0.098,-44,-302,1.02791,2.53,2,12.5,1,8,1,0
1.5,1.22,-2.69,-63.1,0.486,31,89,0.9661,2.03,0.5,3.6,0,11,Unrated,3
4.4,1.02,0.1,9.7,0.024,310,111,0.98816,2.43,0.54,17.2,-2,5,Unrated,0
7.5,-0.51,0.12,3,0.092,121,53,0.9967,3.37,0.7,10.3,1,8,1,5
6.5,0.15,0.08,-41.7,0.11,40,361,0.9906,3.28,2.08,12.7,0,7,2,5
7.4,-0.5,1.16,-23.5,-0.409,39,284,1.02924,2.27,1.94,4.4,0,8,2,4
6.3,0.95,0.19,7.7,-0.328,47,184,1.04243,2.74,0.48,9.5,1,7,2,4
6.5,0.44,0.24,48.1,0.048,20,235,0.95003,3.23,0.3,11.5,0,7,Unrated,0
7.6,0.19,-0.89,-22.3,0.027,31,110,0.99142,3.04,0.73,6.7,-1,8,2,3
7.7,0.34,0.28,24.3,0.764,254,1,0.97158,3.27,1.85,15.6,0,8,1,4
-3,1.99,0.31,-23.2,0.051,-144,173,1.03916,4.05,0.64,10.2,0,8,2,3
18,0.32,0.73,42.45,0.054,177,197,1.0167,2.25,0.55,0.8,1,8,3,4
6.3,1.54,3.44,13.9,0.03,-179,101,1.01385,4.15,1.19,7.6,1,7,4,6
5.6,0.32,0.32,18.3,0.527,-88,105,0.99266,3.24,0.36,11.8,2,6,3,6
4.4,-1.91,-0.09,53.2,-0.281,100,-95,1.0368,3.41,-1.37,12.2,0,5,1,5
9.8,0.13,1.75,5.3,0.051,256,122,0.99051,3.44,0.39,9.7,0,7,3,4
6.3,0.3,1.83,25.4,0.04,-388,15,0.995,4,0.47,12.2,-1,7,2,0
6.6,0.8,0.24,7.2,0.187,-199,137,1.01995,4.33,0.98,10.4,1,7,4,5
9.4,-1.06,1.72,-37.2,0.207,81,157,0.9928,2.96,0.54,3.9,-1,7,2,4
7,-0.79,0.34,59.6,-0.56,12,67,0.9976,3.64,-2.19,13,0,8,3,4
6.9,0.23,0.22,-4.3,0.312,101,169,0.9646,3.2,1.78,5.5,-1,7,2,3
-0.4,0.98,0.03,2.3,0.078,16,86,0.99743,3.53,1.44,9.7,-1,8,2,2
10.6,1.33,0.49,20.6,-0.284,-85,138,1.027,2.23,0.71,4.1,1,11,2,5
-2.6,0.19,0.41,-46.3,-0.303,51,158,1.03944,5.09,0.57,9.8,0,7,1,4
7.4,-1.17,0.95,1.6,-0.437,33,137,0.99261,3.31,0.56,10.5,0,8,1,4
5.8,0.315,0.27,1.55,0.026,221,70,0.98994,3.37,2.2,11.4,0,6,3,6
1.3,0.29,-1.65,-21.2,0.634,-162,-152,1.01074,3.14,0.5,9.2,-1,7,2,2
0.1,-0.93,-1.14,-25.2,0.053,25,329,0.9942,3.01,0.98,13.2,1,7,3,5
6.9,0.13,0.24,55,0.102,239,7,0.97231,4.55,-0.38,11.4,-1,8,2,1
7.3,0.21,1.47,10.9,0.037,-208,490,0.997,3.4,0.5,4.8,-1,8,Unrated,3
6.9,3.06,0.26,31.3,-0.323,32,180,0.9965,2.32,-2.54,9.2,1,7,3,5
6.3,0.23,2.42,6.9,0.052,50,118,0.9938,3.23,0.49,9,2,7,4,6
10.1,0.27,0.35,5.3,0.034,30,402,0.992,4.2,1.72,15.8,0,8,2,4
11.8,0.33,0.32,12.9,0.054,233,-248,0.99572,4.41,-1.15,5.6,0,7,Unrated,0
6.8,1.04,0.56,11.9,0.357,64,-187,0.997,3.02,0.63,9.3,0,8,2,3
-11.1,-0.85,0.23,3.4,0.304,37,92,1.04128,5.19,-0.69,14.1,0,10,2,3
-2,0.17,0.55,1.6,0.083,-186,94,0.9949,3.56,1.47,5.6,2,10,3,6
14.4,1.86,-1.25,-32.8,-0.788,13,38,0.9998,3.28,0.46,9.7,0,10,1,0
8.3,0.65,0.1,4.5,0.089,-63,-61,1.00727,3.29,0.96,9.5,-2,9,1,1
2.1,-1.06,0.5,5.8,0.038,-102,111,0.99189,4.39,0.61,13.8,1,7,3,6
8,0.44,-0.37,1.8,1.25,-70,410,0.98734,3.51,0.55,13.1,0,9,2,5
9.1,0.18,1.69,-62.9,0.042,469,245,0.99431,3.54,0.6,10.5,-2,8,2,3
3.6,0.79,1.5,48.3,-0.498,-194,-610,0.99692,3.18,2.08,9.4,0,7,1,3
6.6,0.895,0.6,-0.1,0.068,-416,13,0.99582,3.11,0.58,10.8,1,8,1,0
10.9,-0.45,0.69,-22.1,0.176,332,106,0.98857,2.96,-0.22,13.9,1,8,2,5
6.7,0.21,-0.34,9.1,0.049,52,-53,1.01852,3.28,2.07,9.9,1,7,2,6
22.6,0.89,0.03,-53.8,0.281,-118,370,1.00809,3.54,0.27,8.4,0,6,Unrated,6
17.6,-2.71,1.84,33.8,-0.78,26,147,0.9912,3.32,0.41,11.6,-1,7,1,4
13.1,0.425,0.29,2.2,-0.087,503,67,0.97345,3.76,0.49,11,0,5,3,4
5.7,0.21,1.32,1.6,0.03,277,122,0.99044,3.94,0.52,18.3,-1,6,2,3
-0.5,-1.26,0.49,7,-0.402,11,329,0.94748,4.52,1.44,10.3,-1,8,1,3
18.3,0.21,0.37,-45.8,0.042,227,501,0.97401,3.26,0.56,14.4,0,8,4,4
7.3,0.4,0.31,-27.9,0.04,47,541,0.9918,3.19,0.16,11.4,0,8,2,4
17.7,0.355,0.35,2,-0.384,31,-241,0.98822,3.06,0.46,17,0,7,2,4
2.4,1.23,0.69,1.3,0.355,108,171,1.02217,3.06,1.36,16.1,0,8,Unrated,0
1.3,0.15,0.36,43.6,0.635,139,513,0.97172,3.14,0.69,11,-1,7,1,5
9,0.38,0.3,2.1,0.026,-74,-166,0.993,2.64,0.36,14.7,0,10,Unrated,3
6.1,0.62,0.28,9.8,-0.922,122,125,0.99532,4.1,0.42,14.7,0,7,2,4
7.2,0.63,0.38,56,0.058,191,516,0.9979,3.09,0.44,7.8,-1,8,2,3
11.7,0.37,0.3,-7.4,0.358,38,93,1.07731,2.88,-0.75,11.7,-1,9,2,5
8.3,-0.06,0.69,9.2,0.22,41,162,1.0373000000000001,4.77,0.38,12,0,9,2,5
6.8,-1.34,-1.39,30.4,0.046,226,-474,1.00849,2.55,0.55,10.8,0,7,3,4
6.8,-0.31,0.22,44.3,0.056,175,137,0.9935,2.88,0.42,13.2,1,7,1,4
5.6,-0.52,0.95,0.9,0.025,11,-155,0.95794,2.53,-1.23,13.1,1,6,3,5
7,-2.15,0.2,47,0.486,50,184,0.98456,3.38,-0.08,9.4,0,8,1,3
5.6,0.18,0.85,1.5,0.038,186,134,0.9924,3.34,0.58,10,-1,6,Unrated,3
6.2,-1.03,0.47,11.6,-0.27,62,114,0.9968,3.19,-0.68,4.4,1,7,1,4
12.6,1.9,0.54,2.8,0.103,19,41,0.99939,3.21,0.75,6.9,0,14,1,0
7.1,0.23,0.39,13.7,0.058,-56,172,1.02252,4.17,-1.25,15.4,0,8,Unrated,4
7.4,0.16,-1.09,-9.6,0.132,299,135,1.03364,3.47,0.43,5,0,8,3,5
-4.9,0.29,0.2,12.6,-0.091,328,143,0.95301,2.51,0.42,2.8,-2,6,Unrated,1
7.7,0.96,0.2,32.2,0.047,-12,60,0.99413,2.43,0.44,11.5,0,9,Unrated,0
10.7,-0.79,0.68,-27.9,0.114,273,127,0.997,4.59,3.5,13.4,-1,12,Unrated,0
11.9,1.05,0.66,3.1,0.109,128,-266,1.02065,3.15,0.38,10.4,1,13,4,6
17.9,1.88,-0.12,2.4,0.082,-243,-59,1.00577,3.37,0.62,9.5,2,9,2,5
7.7,0.26,-0.9,2,0.075,50,39,1.00022,4.43,0.62,13.5,0,8,1,0
5.6,0.19,-0.92,-6.6,0.48,12,168,0.9905,3.25,3.7,10.9,0,6,2,5
-0.6,0.61,0.1,63.1,-0.038,-42,-256,0.9906,3.36,0.51,11.2,-1,6,1,4
6,0.26,0.27,1.9,0.048,382,170,0.9938,3.89,-0.81,10,-1,7,3,4
6.8,0.31,0.43,6.9,0.046,253,363,0.99111,3.19,1.98,4.7,0,8,2,3
18.5,0.53,0.35,15.3,0.507,31,117,0.9998,3.27,1.52,9.6,1,8,2,4
6.4,0.24,1.95,11.6,0.03,86,211,1.03515,3.33,0.57,7.2,0,7,Unrated,3
-0.8,-0.04,0.28,14.7,0.174,70,-402,1.02574,5.33,0.58,9,0,7,3,5
6.5,0.52,0.31,117.6,0.036,-119,238,1.03224,3.19,0.91,11.9,-1,7,3,4
6,-0.78,0.05,1.5,-0.914,127,120,0.9932,3.17,0.56,9.2,0,6,2,4
7.4,0.98,1.46,18.4,0.201,37,194,1.02293,3.2,-0.68,9.4,0,8,2,4
1.3,0.15,0.18,8.6,-0.367,18,115,0.99166,0.61,-0.81,4.8,1,7,2,4
7.6,-1.51,-0.35,18.75,0.548,-219,193,1.00014,3.1,1.5,9.3,0,8,4,5
7.4,0.28,3.52,1.5,0.119,-17,126,0.9918,2.98,0.39,17.2,0,8,Unrated,0
7.8,0.27,1.41,26.5,-0.053,-122,535,0.94732,3.22,0.44,20.9,0,8,Unrated,3
1.5,0.23,0.4,7.3,-0.061,5,133,0.993,3.95,1.66,11.4,2,7,3,6
6,0.28,-0.08,3.95,0.038,262,134,0.99146,4.96,0.54,15,0,7,Unrated,0
19.8,0.25,1.36,-82.3,0.051,146,129,0.9928,3.21,1.76,11.5,-1,9,Unrated,3
-10.1,0.48,-2.43,-22.5,0.073,16,25,0.9936,4.34,1.98,12.4,1,9,1,0
2.4,-1.19,-0.94,21.4,0.139,62,-330,0.9954,3.25,0.54,10.4,0,7,2,4
-3.5,0.22,0.29,-35.2,-0.469,39,-117,0.98393,3.05,-0.21,9.8,2,7,3,6
7,0.89,0.18,-40,0.059,-223,50,0.9951,2.43,0.6,9.8,0,8,1,3
8.8,0.52,0.34,-29.7,0.087,24,452,0.9982,2.38,0.62,18.7,0,10,Unrated,3
16.6,0.3,0.4,19.5,-0.269,29,175,0.99445,3.19,2.25,9.8,0,8,3,3
5.9,-0.42,0.23,-5.6,-0.521,38,72,0.99021,4.37,0.49,17.9,0,6,1,0
6.7,0.15,1.87,49,0.613,236,19,0.96622,3.29,0.31,10,-1,7,2,3
11.2,0.04,-0.83,30.8,0.055,254,375,0.96238,3.34,1.15,13.3,-1,10,1,0
5.7,1.46,0.73,1.3,-0.046,74,309,0.9928,4.38,0.46,4.5,0,6,Unrated,3
5.8,-0.55,1.26,63.8,0.036,-252,-109,0.97198,3.02,0.59,3.4,1,6,2,5
6.1,0.72,0.76,-62.2,0.036,38,124,0.9628,3.29,1.31,12.4,0,7,3,5
6.5,0.3,-1.05,4,0.087,180,28,0.99026,4.32,-0.61,7.6,-1,7,1,5
7.3,0.97,0,-46.9,0.08,292,53,0.97108,2.84,1.14,5.4,-1,9,Unrated,0
6.4,0.2,0.15,6.6,0.292,26,-30,0.95075,2.99,-0.7,9.9,0,7,1,4
0.6,0.72,0.33,40.8,0.046,-153,-171,0.9902,3.89,0.39,11.45,0,8,3,4
7.2,0.5,1.86,10.4,0.05,336,192,0.95631,3.16,0.42,12,1,8,1,4
-1.4,0.24,-0.94,-53.4,0.047,64.5,181.5,1.03576,3.91,0.58,8.8,0,7,1,4
6.9,-1.11,0.21,1,0.212,-485,871,0.9927,1.91,-1.01,8,-1,7,2,3
7.7,1.62,0.58,115.1,-0.21,125,-43,0.9983,2.39,-0.77,12.3,0,9,Unrated,3
16.4,-0.76,0.27,10.7,0.076,185,62,0.9967,3.05,0.64,3.6,0,7,Unrated,3
5.8,1.06,0.21,1.5,0.044,21,228,0.99911,2.14,0.51,11,-1,6,Unrated,0
14.3,1.68,0.35,5.3,0.03,-189,117,0.96414,2.72,0.42,11.5,-1,8,2,3
8,1.65,0.63,-58.3,0.081,190,347,1.0329,3.3,0.78,8.7,0,9,Unrated,4
4.8,0.13,1.03,12.85,-0.332,36,380,0.99581,3.05,0.55,6.3,0,8,3,4
8.3,0.56,0.53,-14.1,0.074,-226,171,0.98857,3.2,1.13,6.2,0,10,Unrated,0
5.5,0.24,1.37,-14.6,0.06,-69,102,0.994,3.44,-0.83,19.4,0,6,2,3
6.9,0.4,0.31,25,-0.521,226,-9,0.99358,2.96,0.59,16.8,-1,8,3,3
5.6,0.18,0.27,6.5,0.147,-104,103,0.98892,3.35,-0.87,15,0,6,2,4
-1.1,0.65,0.39,-45.2,0.091,42,135,0.9945,3.25,1.21,13.8,1,7,4,6
6.8,0.27,-2.64,7.8,0.048,-76,128,0.97267,3.09,0.92,9.5,0,7,2,4
11.7,-2.7,1.73,-7.6,0.019,15,-327,1.06355,2.48,2.17,11.2,-1,6,2,3
6,1.755,1.4,9,0.038,-86,63,0.96535,3.36,-1.27,6.4,1,6,2,4
6.4,-0.57,0.37,-15.2,-0.069,-143,77,0.99817,3.21,0.53,9.4,-1,7,2,2
18.9,-0.96,0.44,-50.2,0.033,54,170,0.998,4.59,0.53,3.5,0,8,1,3
-0.1,0.39,0.16,-12.1,0.08,11,-216,0.9955,3.34,-1.05,5.1,0,7,1,3
7.1,1.27,1.33,69.25,-0.403,47,164,1.03313,3.34,0.78,9.1,0,8,2,4
4.2,2.055,-0.91,2.5,-0.379,104,151,0.97799,3.53,0.57,5.3,-1,8,Unrated,0
6.7,1.77,0.26,7.9,-0.378,147,59,0.99192,2.99,1.28,5.8,1,7,2,6
18.7,0.22,-0.91,1.5,0.051,18,244,0.9928,2.05,1.38,8.8,-1,7,2,2
18.6,0.68,0.86,1.4,-0.398,177,-260,0.98341,2.4,0.11,11.4,0,8,Unrated,3
7.7,1.55,-0.07,3.5,0.203,5,275,0.99135,2.01,1.08,18.1,0,9,1,0
7.3,0.59,0.26,12,0.07,309,121,0.9981,3.37,0.49,9.1,-1,8,Unrated,2
15.2,0.24,0.29,34.5,0.339,18,122,1.02217,4.58,0.42,5.8,1,7,Unrated,4
10.8,0.305,-1.27,1.1,0.369,40,506,0.95972,3.33,0.56,10.6,1,6,3,5
-1.3,-0.58,0.34,1.5,0.042,63,123,0.99052,3,2.13,11.4,1,7,1,5
7.2,2.82,-0.84,29.9,0.588,175,878,1.03659,4.09,0.78,3.3,2,8,2,5
8.1,0.2,0.28,7.5,0.04,70,230,1.04464,3.94,-1.22,3.2,-1,9,1,3
6.8,0.24,-0.23,37.65,-1.146,59,26,0.95877,2.95,-1.24,10.6,0,7,1,4
7.6,1.73,-1.24,46.2,0.091,8,38,1.01264,3.55,-0.22,5.8,0,8,3,4
13.6,0.06,0.61,1.6,0.088,146,-207,1.00318,4.56,-1.15,11.3,-1,8,Unrated,0
4.2,0.24,0.61,7.9,-0.144,258,149,0.99545,3.35,0.52,6.4,0,7,Unrated,3
-0.3,0.31,-1.31,1.3,0.038,18,-575,0.9928,3.36,0.63,10.3,1,7,Unrated,0
7.4,0.53,0.99,1.9,0.505,4,12,1.02216,3.26,-0.9,10.6,0,8,Unrated,0
10.6,0.15,2.21,5.9,0.045,75,-68,0.9983,3.23,0.4,9.3,1,7,3,4
6.8,0.33,-0.89,47.3,0.283,379,732,0.99226,3.06,-0.4,12.2,0,7,1,4
0.2,0.3,0.68,64.6,-0.367,-213,123,0.9406,0.92,0.45,9.2,1,9,2,5
6.1,0.81,0.47,1.4,0.049,-128,187,1.03597,3.19,-0.61,12.8,-1,7,1,0
5.5,0.13,0.39,-5.1,0.042,36,310,0.995,3.36,0.5,11.9,-2,8,1,3
6.7,-0.4,0.68,-0.2,-0.161,36,733,0.99064,3.19,-1.51,11.7,0,7,3,5
7.2,0.27,0.28,15.2,0.243,213,41,0.99665,2.05,-0.85,14.7,0,8,Unrated,4
-2.8,-1.24,0.58,7.4,0.044,56,270,1.01721,3.22,0.48,9.3,1,7,2,5
3.2,-0.07,-0.09,11.9,0.171,91,230,0.9972,3,0.37,6.2,-1,8,2,2
